dataset,task_type,fingerprint_type,split_method,run_label,model_name,hyperparameters,train_size,val_size,test_size,train_roc_auc,train_pr_auc,train_accuracy,train_mae,train_rmse,train_r2,val_roc_auc,val_pr_auc,val_accuracy,val_mae,val_rmse,val_r2,test_roc_auc,test_pr_auc,test_accuracy,test_mae,test_rmse,test_r2
bbbp,classification,maccs,butina_morgan,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995664794781665,0.9998782624358032,0.9974424552429667,,,,0.9257443718228032,0.9834893494734055,0.8877551020408163,,,,0.8166206896551725,0.9177449082016265,0.8461538461538461,,,
bbbp,classification,maccs,butina_morgan,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995825333801264,0.9998831720782713,0.9968030690537084,,,,0.9367413965443382,0.9774434935073313,0.8826530612244898,,,,0.8457244008714597,0.9364554986291571,0.8358974358974359,,,
bbbp,classification,maccs,butina_morgan,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9994105297157623,0.9998405426293172,0.9961636828644501,,,,0.9453792735042735,0.9802607190034804,0.8520408163265306,,,,0.8957925636007827,0.9614468979507688,0.882051282051282,,,
bbbp,classification,maccs,random,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999590276485857,0.9999842846749405,0.9961636828644501,,,,0.9164262820512821,0.9654004442084724,0.8877551020408163,,,,0.9484714003944773,0.9858964094855744,0.8974358974358975,,,
bbbp,classification,maccs,random,seed_1,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995554765291608,0.9998725168748929,0.9968030690537084,,,,0.9201449275362318,0.9714411502139602,0.8673469387755102,,,,0.96875,0.9934330285417283,0.9179487179487179,,,
bbbp,classification,maccs,random,seed_2,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9996666843844403,0.9999014126673198,0.9974424552429667,,,,0.8911880409126671,0.9623796380224832,0.8775510204081632,,,,0.9734327857861212,0.9932835008417592,0.9282051282051282,,,
bbbp,classification,maccs,random,seed_3,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995944446829327,0.9998829931162134,0.9961636828644501,,,,0.9417709963484612,0.9783633666725724,0.8775510204081632,,,,0.9459294199860238,0.9867758084084048,0.9333333333333333,,,
bbbp,classification,maccs,random,seed_4,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9995310710928093,0.99987145896422,0.9961636828644501,,,,0.900974025974026,0.9642972133409295,0.8928571428571429,,,,0.9388111888111887,0.9736042681054121,0.8871794871794871,,,
bbbp,classification,morgan,bm_scaffold,deterministic,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,1.0,1.0,1.0,,,,0.8888269195017662,0.9726589369378776,0.9183673469387755,,,,0.933802308802309,0.9609846996336242,0.8256410256410256,,,
bbbp,classification,morgan,butina_atompair,seed_0,RandomForestClassifier,"{""class_weight"": ""balanced"", ""max_depth"": null, ""max_features"": 0.5, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",1564,196,195,0.9999999999999999,1.0,1.0,,,,0.9022123071202826,0.9751694722157748,0.8826530612244898,,,,0.9256756756756758,0.9715249991322872,0.8974358974358975,,,
